Unique Id,Project Name,Project Address,System,Area,Project Number,Drawn By,Issued Date,Company,itm CID,Fitting Type,Service Type,Service,FAB Service Abbrv,Description (1),Description (2),Schedule/Rating,Alias,Manufacturer,Material Group,Material Data,Material Abbreviation,Size (inch),Size (dec),Inlet Diameter,Size Outlets,Size Branches,RFA Size,RFA Size (max),RFA Size (max dec),Length (ft),Length (dec ft),Quantity,Manufacturer Order Number,RFA Model Number,Spool Name,Spool Name (PiM),Entity Status,Shop Order Number,Item Number,Mark,Weight,Level,Category,Sub Type,Bernhard LB ID,JD Edwards ID,Hanger Diameter,Rod Diameter,Rod Diameter (dec),Rod Inset Depth,Rod Length,Rod Length (dec),Conn Type #1,Conn Type #2,Conn Type #3,Conn Type #4,Conn Type #5,Conn Type #6,Conn Type #7,Conn Type #8
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab340,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Pipework,AGM: Condensate Drain (CD),CD,,Pipe - B88 Copper Type M,Type M,,(Generic),BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,"12' - 6 3/8""",12.5339,1,,,PLA-CD-02,PLA-CD-02,Spooled,12981,1,,8.55,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_GEN_000402-0005,,,,,,,,Generic Copper Plain End (Pipe),Generic Copper Plain End (Pipe),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab343,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-02,PLA-CD-02,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab37f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab391,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,816 - Cleanout w Plug C - Cast,DWV,,Nibco,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-02,PLA-CD-02,Spooled,12981,3,,0.49,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000320-0001,,,,,,,,Nibco Copper (Cast) Blank (Plug Square End),Nibco Copper Plain End,,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab397,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-02,PLA-CD-02,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab407,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2051,Fitting,Pipework,AGM: Condensate Drain (CD),CD,,600-2 Fitting Reducer Ftg x C - Wrot,Wrot,,Nibco,BIMrxDBS,Copper,Cu,1-1/4x3/4,1.25,"1 1/4""",0.75,,,,,,,1,,,PLA-CD-05,PLA-CD-05,Spooled,12981,4,,0.16,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000058-0018,,,,,,,,Nibco Copper Plain End,Nibco Copper Cup,,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab413,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-05,PLA-CD-05,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab441,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-05,PLA-CD-05,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab468,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Pipework,AGM: Condensate Drain (CD),CD,,Pipe - B88 Copper Type M,Type M,,(Generic),BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,"7' - 3 7/8""",7.3197,1,,,PLA-CD-01,PLA-CD-01,Spooled,12981,1,,4.99,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_GEN_000402-0005,,,,,,,,Generic Copper Plain End (Pipe),Generic Copper Plain End (Pipe),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab4cc,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-01,PLA-CD-01,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
ecfacab4-0936-4f9e-a402-175eadb5c41c-005aba59,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
ecfacab4-0936-4f9e-a402-175eadb5c41c-005aba70,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-08,PLA-CD-08,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
47392e17-435f-400d-9f86-50906602dc57-005ac913,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2060,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,917-B Test Caps - Copper C - Wrot,DWV,,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",,,,,,,,1,,,PLC-CD-04,PLC-CD-04,Spooled,12981,4,,0.01,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000055-0005,,,,,,,,Nibco Copper Cup (Cap),,,,,,,
47392e17-435f-400d-9f86-50906602dc57-005ac918,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-04,PLC-CD-04,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
47392e17-435f-400d-9f86-50906602dc57-005ac91a,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2060,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,917-B Test Caps - Copper C - Wrot,DWV,,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",,,,,,,,1,,,PLC-CD-08,PLC-CD-08,Spooled,12981,2,,0.01,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000055-0005,,,,,,,,Nibco Copper Cup (Cap),,,,,,,
47392e17-435f-400d-9f86-50906602dc57-005ac91e,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-08,PLC-CD-08,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
47392e17-435f-400d-9f86-50906602dc57-005ac920,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2060,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,917-B Test Caps - Copper C - Wrot,DWV,,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",,,,,,,,1,,,PLD-CD-05,PLD-CD-05,Spooled,12981,3,,0.01,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000055-0005,,,,,,,,Nibco Copper Cup (Cap),,,,,,,
47392e17-435f-400d-9f86-50906602dc57-005ac924,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-05,PLD-CD-05,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
47392e17-435f-400d-9f86-50906602dc57-005aca04,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"18' - 7 1/4""",18.6039,1,,,PLC-CD-03,PLC-CD-03,Spooled,12981,1,,15.05,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
47392e17-435f-400d-9f86-50906602dc57-005acade,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-03,PLC-CD-03,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
47392e17-435f-400d-9f86-50906602dc57-005acc28,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
89a9e7fe-b244-49c4-adeb-5412e802ece3-005ace1f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2060,Fitting,Pipework,AGM: Condensate Drain (CD),CD,,617 Tube Cap C - Wrot,Wrot,,Nibco,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",,,,,,,,1,,,PLA-CD-10,PLA-CD-10,Spooled,12981,4,,0.05,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000081-0006,,,,,,,,Nibco Copper Cup,,,,,,,
89a9e7fe-b244-49c4-adeb-5412e802ece3-005ace24,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-10,PLA-CD-10,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
89a9e7fe-b244-49c4-adeb-5412e802ece3-005ace27,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2060,Fitting,Pipework,AGM: Condensate Drain (CD),CD,,617 Tube Cap C - Wrot,Wrot,,Nibco,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",,,,,,,,1,,,PLA-CD-09,PLA-CD-09,Spooled,12981,2,,0.05,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000081-0006,,,,,,,,Nibco Copper Cup,,,,,,,
89a9e7fe-b244-49c4-adeb-5412e802ece3-005ace2b,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-09,PLA-CD-09,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
89a9e7fe-b244-49c4-adeb-5412e802ece3-005acf31,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-07,PLA-CD-07,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
89a9e7fe-b244-49c4-adeb-5412e802ece3-005acf33,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Pipework,AGM: Condensate Drain (CD),CD,,600-RS Coupling with Rolled Tube Stop C x C - Wrot,Wrot,,Nibco,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-07,PLA-CD-07,Spooled,12981,2,,0.06,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000060-0008,,,,,,,,Nibco Copper Cup (Coupling),Nibco Copper Cup (Coupling),,,,,,
89a9e7fe-b244-49c4-adeb-5412e802ece3-005acf36,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
89a9e7fe-b244-49c4-adeb-5412e802ece3-005acf38,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Pipework,AGM: Condensate Drain (CD),CD,,Pipe - B88 Copper Type M,Type M,,(Generic),BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,"0' - 3 1/8""",0.261,1,,,PLA-CD-05,PLA-CD-05,Spooled,12981,2,,0.09,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_GEN_000402-0003,,,,,,,,Generic Copper Plain End (Pipe),Generic Copper Plain End (Pipe),,,,,,
89a9e7fe-b244-49c4-adeb-5412e802ece3-005acfe4,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-06,PLC-CD-06,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
